user_id,segment,ab_group,drop,activacion,setup,habito_calc
MLB10655448410,1,treatment,0,1,1,0
MLB42978543290,2,treatment,0,1,0,1
MLB10535452960,1,treatment,0,1,1,0
MLB10614296680,1,treatment,0,1,1,0
MLB10556883780,1,treatment,0,1,1,0
MLB10652680480-1,1,treatment,0,1,1,0
MLB10503815620,1,treatment,0,1,1,0
MLB42935061670,2,treatment,0,1,1,1
MLB10583809020,1,treatment,0,1,0,0
MLB7900206920,1,treatment,0,1,1,0
MLB3569765070,1,treatment,0,1,1,0
MLB10594263420-1,1,treatment,0,1,1,0
MLB10527955730,1,treatment,0,1,1,0
MLB41286941990,2,treatment,0,1,1,1
MLB1875698860,1,treatment,0,1,0,0
MLB10534650390,1,treatment,0,1,1,0
MLB41313586300,2,treatment,0,1,0,1
MLB10617575110,1,control,0,1,1,0
MLB10568903180,1,treatment,0,1,1,0
MLB10503815620-1,1,treatment,0,1,1,0
MLB10541777630,1,treatment,0,1,1,0
MLB10565430540,1,treatment,0,1,1,0
MLB10035808590,1,treatment,0,1,1,0
MLB410644630540,2,treatment,0,1,1,1
MLB10664369300,1,treatment,0,1,1,0
MLB4778588510,1,treatment,0,1,1,0
MLB410545256920,2,treatment,0,1,1,1
MLB2484615760,1,treatment,0,1,1,0
MLB8407598470-1,1,treatment,0,1,1,0
MLB47502120130,2,treatment,0,1,1,1
MLB8221493560,1,treatment,0,1,0,0
MLB10014188850,1,treatment,0,1,0,0
MLB10638958250,1,treatment,0,1,1,0
MLB10604700020,1,treatment,0,1,1,0
MLB10561789740,1,treatment,0,1,1,0
MLB6484948610,1,treatment,0,1,1,0
MLB46107167150,2,treatment,0,1,1,1
MLB10561048030,1,treatment,0,1,1,0
MLB10570394910,1,treatment,0,1,1,0
MLB10602976050,1,treatment,0,1,1,0
MLB693861640,1,control,0,1,1,0
MLB10104145250,1,treatment,0,1,1,0
MLB10523475600,1,treatment,0,1,1,0
MLB10655572690,1,treatment,0,1,0,0
MLB10652680480,1,treatment,0,1,1,0
MLB42420581422,2,treatment,0,1,0,1
MLB410611091220,2,treatment,0,1,1,1
MLB410610187440,2,control,0,1,1,1
MLB43917569220,2,treatment,0,1,1,1
MLB2978543290,1,treatment,0,1,0,0
MLB10629178420,1,treatment,0,1,0,0
MLB3159777050,1,treatment,0,1,0,0
MLB10631231250,1,treatment,0,1,1,0
MLB10644093610,1,treatment,0,1,0,0
MLB10591053650,1,control,0,1,1,0
MLB41739682480,2,treatment,0,1,1,1
MLB44932572840,2,treatment,0,1,0,1
MLB1147298420,1,treatment,0,1,1,0
MLB41737272422,2,treatment,0,1,0,1
MLB4511839510,1,treatment,0,1,1,0
MLB410589124890,2,treatment,0,1,1,1
MLB10534372140,1,treatment,0,1,1,0
MLB10611029380,1,treatment,0,1,0,0
MLB10597144360,1,control,0,1,1,0
